> `data-sim-script-mc_results`$all.montes
      wald.accepts       p.vals gen.wald.accepts   gen.p.vals within.ests pooled.ests agreements       R.sq Tt rho.lag samplesize
 [1,]          410 3.414443e-01              449 3.897076e-01   0.6863994   0.7566143        451 0.13552089  5     0.6        100
 [2,]          195 1.006490e-01              318 1.648686e-01   0.6844638   0.7521168        371 0.13089515  5     0.6        500
 [3,]           48 1.831892e-02              134 5.149884e-02   0.6855358   0.7531519        414 0.13243693  5     0.6       1000
 [4,]          208 1.216627e-01              286 1.602683e-01   0.6929549   0.8971492        410 0.07379895  5     0.9        100
 [5,]            0 2.854692e-04                3 1.409575e-03   0.6957585   0.8980669        497 0.07184013  5     0.9        500
 [6,]            0 1.011024e-07                0 5.763496e-06   0.6956707   0.8979705        500 0.07096327  5     0.9       1000
 [7,]          247 1.268050e-01              449 3.246018e-01   0.7188986   0.7579543        288 0.34169630 10     0.6        100
 [8,]            0 1.198538e-04              190 5.687111e-02   0.7191717   0.7605093        310 0.33960987 10     0.6        500
 [9,]            0 8.079655e-09                6 6.979667e-03   0.7194034   0.7580968        494 0.33899677 10     0.6       1000
[10,]            3 1.072407e-03               79 2.909607e-02   0.7733165   0.9041389        424 0.35943906 10     0.9        100
[11,]            0 1.243450e-17                0 2.207985e-07   0.7737308   0.9034327        500 0.35926227 10     0.9        500
[12,]            0 0.000000e+00                0 9.774107e-08   0.7733491   0.9050072        500 0.35789547 10     0.9       1000
> cbind(pow, am[, c(9,10,11)])
      wald.accepts gen.wald.accepts     Tt rho.lag samplesize
 [1,]        0.180            0.102      5     0.6        100
 [2,]        0.610            0.364      5     0.6        500
 [3,]        0.904            0.732      5     0.6       1000

 [4,]        0.584            0.428      5     0.9        100
 [5,]        1.000            0.994      5     0.9        500
 [6,]        1.000            1.000      5     0.9       1000

 [7,]        0.506            0.102     10     0.6        100
 [8,]        1.000            0.620     10     0.6        500
 [9,]        1.000            0.988     10     0.6       1000

[10,]        0.994            0.842     10     0.9        100
[11,]        1.000            1.000     10     0.9        500
[12,]        1.000            1.000     10     0.9       1000
