> `data-sim-script-mc_results`$all.montes.size
      wald.accepts    p.vals gen.wald.accepts gen.p.vals within.ests pooled.ests agreements      R.sq Tt rho.lag samplesize
 [1,]          466 0.4562451              468  0.4733857   0.9852064   0.9912959        476 0.3778570  5     0.6        100
 [2,]          470 0.4758616              480  0.4776651   0.9885614   0.9915024        480 0.3757295  5     0.6        500
 [3,]          471 0.4337756              470  0.4334733   0.9878684   0.9916479        483 0.3749319  5     0.6       1000
 [4,]          469 0.4868808              477  0.4954609   0.9880905   0.9965152        486 0.3333489  5     0.9        100
 [5,]          467 0.4814034              467  0.4855844   0.9866588   0.9970355        488 0.3291254  5     0.9        500
 [6,]          471 0.4550960              472  0.4549736   0.9879465   0.9965275        491 0.3307468  5     0.9       1000
 [7,]          453 0.4252826              472  0.4837677   0.9959289   0.9967914        463 0.5474226 10     0.6        100
 [8,]          459 0.4589630              463  0.4734021   0.9940315   0.9950027        466 0.5441776 10     0.6        500
 [9,]          464 0.4344023              459  0.4455671   0.9948148   0.9959725        453 0.5447032 10     0.6       1000
[10,]          444 0.4285805              470  0.4797277   0.9954560   0.9989185        456 0.5653967 10     0.9        100
[11,]          477 0.4836106              472  0.4974371   0.9961059   0.9988387        475 0.5639789 10     0.9        500
[12,]          471 0.4827414              469  0.4823456   0.9960888   0.9984056        474 0.5646531 10     0.9       1000
> siz
      wald.accepts gen.wald.accepts    Tt rho.lag samplesize
 [1,]        0.068            0.064     5     0.6        100
 [2,]        0.060            0.040     5     0.6        500
 [3,]        0.058            0.060     5     0.6       1000

 [4,]        0.062            0.046     5     0.9        100
 [5,]        0.066            0.066     5     0.9        500
 [6,]        0.058            0.056     5     0.9       1000

 [7,]        0.094            0.056    10     0.6        100
 [8,]        0.082            0.074    10     0.6        500
 [9,]        0.072            0.082    10     0.6       1000

[10,]        0.112            0.060    10     0.9        100
[11,]        0.046            0.056    10     0.9        500
[12,]        0.058            0.062    10     0.9       1000
