# ME power
# nperson = 5000, B = 500, replace = FALSE
> `data-sim-script_results`$all.bootys
      wald.accepts    p.vals gen.wald.accepts gen.p.vals within.ests pooled.ests agreements Tt rho.lag samplesize
 [1,]          467 0.4839641              473  0.4892529   0.9990493   1.0039919        478  5     0.6        100
 [2,]          475 0.5099225              471  0.5067405   0.9990301   1.0035187        484  5     0.6        500
 [3,]          488 0.5423537              490  0.5458303   0.9999882   1.0039474        490  5     0.6       1000
 [4,]          467 0.4799492              478  0.4966390   1.0061347   1.0036661        483  5     0.9        100
 [5,]          477 0.5292713              475  0.5323921   1.0060079   1.0044432        494  5     0.9        500
 [6,]          490 0.5617112              486  0.5636410   1.0068201   1.0046677        490  5     0.9       1000
 [7,]          449 0.4179549              475  0.4759915   0.9985487   0.9991354        452 10     0.6        100
 [8,]          472 0.4516175              474  0.4731484   0.9994213   1.0004370        466 10     0.6        500
 [9,]          452 0.4260118              468  0.4573303   0.9996290   1.0003803        454 10     0.6       1000
[10,]          442 0.4275244              470  0.4759878   1.0023813   0.9998559        458 10     0.9        100
[11,]          476 0.5057848              481  0.5007624   1.0003926   1.0000210        477 10     0.9        500
[12,]          480 0.5233605              482  0.5003056   1.0007926   0.9997968        480 10     0.9       1000
> cbind(`data-sim-script_results`$all.bootys[, c(1,3,7)] / 500)
      wald.accepts           gen.wald.accepts                                     agreements
 [1,]        0.934                      0.946                                          0.956
 [2,]        0.950                      0.942                                          0.968
 [3,]        0.976                      0.980                                          0.980
 [4,]        0.934                      0.956                                          0.966
 [5,]        0.954                      0.950                                          0.988
 [6,]        0.980                      0.972                                          0.980
 [7,]        0.898                      0.950                                          0.904
 [8,]        0.944                      0.948                                          0.932
 [9,]        0.904                      0.936                                          0.908
[10,]        0.884                      0.940                                          0.916
[11,]        0.952                      0.962                                          0.954
[12,]        0.960                      0.964                                          0.960
