# ME size
# nperson = 5000, B = 500, replace = FALSE
> `data-sim-script_results`$all.bootys
      wald.accepts    p.vals gen.wald.accepts gen.p.vals within.ests pooled.ests agreements Tt rho.lag samplesize
 [1,]          463 0.4911493              472  0.4965181   0.9956754   0.9947463        475  5     0.6        100
 [2,]          482 0.5138295              475  0.5098672   0.9927028   0.9938170        491  5     0.6        500
 [3,]          482 0.4979459              470  0.4913160   0.9935178   0.9946386        484  5     0.6       1000
 [4,]          467 0.4733679              472  0.4833353   1.0010240   1.0025520        481  5     0.9        100
 [5,]          476 0.4959303              474  0.4925947   0.9982048   1.0031979        492  5     0.9        500
 [6,]          466 0.4704732              460  0.4608250   0.9991105   1.0036120        490  5     0.9       1000
 [7,]          459 0.4527609              473  0.4919633   0.9889513   0.9940964        460 10     0.6        100
 [8,]          488 0.5350946              481  0.5398488   0.9891187   0.9941771        473 10     0.6        500
 [9,]          495 0.5627376              488  0.5614636   0.9897007   0.9946279        487 10     0.6       1000
[10,]          460 0.4275583              467  0.4659624   1.0029664   1.0020085        469 10     0.9        100
[11,]          467 0.4704166              474  0.4820657   1.0039745   1.0018651        471 10     0.9        500
[12,]          454 0.4114048              461  0.4157638   1.0028651   1.0013842        469 10     0.9       1000
> cbind(`data-sim-script_results`$all.bootys[, c(1,3,7)] / 500)
      wald.accepts           gen.wald.accepts                                    agreements
 [1,]        0.926                      0.944                                         0.950
 [2,]        0.964                      0.950                                         0.982
 [3,]        0.964                      0.940                                         0.968
 [4,]        0.934                      0.944                                         0.962
 [5,]        0.952                      0.948                                         0.984
 [6,]        0.932                      0.920                                         0.980
 [7,]        0.918                      0.946                                         0.920
 [8,]        0.976                      0.962                                         0.946
 [9,]        0.990                      0.976                                         0.974
[10,]        0.920                      0.934                                         0.938
[11,]        0.934                      0.948                                         0.942
[12,]        0.908                      0.922                                         0.938
