# OVB power
# nperson = 5000, B = 500, replace = FALSE, theta.eta.cov <- rbind(c(0.6, -0.216), c(-0.216, 0.6))
> `data-sim-script_results`$all.bootys
      wald.accepts       p.vals gen.wald.accepts    gen.p.vals within.ests pooled.ests agreements Tt rho.lag samplesize
 [1,]          421 3.764688e-01              451  3.984236e-01    1.690604    1.754663        456  5     0.6        100
 [2,]          233 1.142877e-01              289  1.490789e-01    1.687792    1.755649        428  5     0.6        500
 [3,]           51 2.424135e-02               86  3.939356e-02    1.688191    1.755288        463  5     0.6       1000
 [4,]          224 1.313860e-01              264  1.480248e-01    1.745688    1.935363        436  5     0.9        100
 [5,]            1 6.199499e-04                1  1.047057e-03    1.744490    1.935536        500  5     0.9        500
 [6,]            0 4.067611e-08                0 -6.760050e-07    1.743367    1.935502        500  5     0.9       1000
 [7,]          334 2.242298e-01              449  3.651023e-01    1.691797    1.725630        369 10     0.6        100
 [8,]           29 1.160024e-02              267  1.079765e-01    1.692307    1.725570        262 10     0.6        500
 [9,]            0 3.822922e-05               49  1.952552e-02    1.692509    1.725394        451 10     0.6       1000
[10,]           24 9.399277e-03               57  2.084028e-02    1.834562    1.930315        461 10     0.9        100
[11,]            0 2.297473e-14                0  1.009155e-08    1.836433    1.930276        500 10     0.9        500
[12,]            0 0.000000e+00                1 -4.457342e-08    1.835999    1.930186        499 10     0.9       1000
> cbind(all.b[, c(1,3,7)] / 500)
      wald.accepts              gen.wald.accepts                                       agreements
 [1,]        0.842                         0.902                                            0.912
 [2,]        0.466                         0.578                                            0.856
 [3,]        0.102                         0.172                                            0.926
 [4,]        0.448                         0.528                                            0.872
 [5,]        0.002                         0.002                                            1.000
 [6,]        0.000                         0.000                                            1.000
 [7,]        0.668                         0.898                                            0.738
 [8,]        0.058                         0.534                                            0.524
 [9,]        0.000                         0.098                                            0.902
[10,]        0.048                         0.114                                            0.922
[11,]        0.000                         0.000                                            1.000
[12,]        0.000                         0.002                                            0.998
