# OVB size
# nperson = 5000, B = 500, replace = FALSE
> `data-sim-script_results`$all.bootys
      wald.accepts    p.vals gen.wald.accepts gen.p.vals within.ests pooled.ests agreements Tt rho.lag samplesize
 [1,]          465 0.4740584              478  0.4815443    1.996543    1.996908        477  5     0.6        100
 [2,]          473 0.4607677              473  0.4674176    1.995983    1.997401        490  5     0.6        500
 [3,]          444 0.3990735              447  0.4071739    1.994383    1.997160        481  5     0.6       1000
 [4,]          470 0.4680641              475  0.4787779    1.996301    2.000226        479  5     0.9        100
 [5,]          456 0.4660965              450  0.4573931    1.997473    2.000161        488  5     0.9        500
 [6,]          452 0.4039506              450  0.3879822    1.997207    2.000205        490  5     0.9       1000
 [7,]          444 0.4142577              469  0.4694045    2.002087    2.003230        449 10     0.6        100
 [8,]          448 0.4104939              455  0.4236249    2.002218    2.002655        449 10     0.6        500
 [9,]          427 0.3404401              460  0.3853447    2.002268    2.002929        439 10     0.6       1000
[10,]          459 0.4278922              480  0.4860510    1.999633    2.001015        465 10     0.9        100
[11,]          470 0.4543377              477  0.4748943    1.999966    2.001201        475 10     0.9        500
[12,]          461 0.4382208              488  0.4807509    1.999493    2.000931        465 10     0.9       1000
> cbind(`data-sim-script_results`$all.bootys[, c(1,3,7)] / 500)
      wald.accepts           gen.wald.accepts                                    agreements
 [1,]        0.930                      0.956                                         0.954
 [2,]        0.946                      0.946                                         0.980
 [3,]        0.888                      0.894                                         0.962
 [4,]        0.940                      0.950                                         0.958
 [5,]        0.912                      0.900                                         0.976
 [6,]        0.904                      0.900                                         0.980
 [7,]        0.888                      0.938                                         0.898
 [8,]        0.896                      0.910                                         0.898
 [9,]        0.854                      0.920                                         0.878
[10,]        0.918                      0.960                                         0.930
[11,]        0.940                      0.954                                         0.950
[12,]        0.922                      0.976                                         0.930
